f002_ths002,f011_ths002,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10
"乐普(北京)医疗器械股份有限公司",1999-06-11,医疗器械,医用耗材,高值医用耗材,血管介入耗材,血管支架,,,,,
"乐普(北京)医疗器械股份有限公司",1999-06-11,医疗器械,医用耗材,高值医用耗材,血管介入耗材,封堵器,,,,,
"乐普(北京)医疗器械股份有限公司",1999-06-11,医疗器械,医用耗材,高值医用耗材,血管介入耗材,心脏瓣膜,,,,,
"乐普(北京)医疗器械股份有限公司",1999-06-11,医疗器械,医用耗材,高值医用耗材,血管介入耗材,心脏起搏器,,,,,
"乐普(北京)医疗器械股份有限公司",1999-06-11,生物制药,化学制药,化学制剂,其他类化学制剂,造影剂,,,,,
"乐普(北京)医疗器械股份有限公司",1999-06-11,生物制药,生物制品,体外诊断试剂,,,,,,,
"太极计算机股份有限公司",1987-10-10,人工智能,上游支撑,基础软件,中间件,,,,,,
"太极计算机股份有限公司",1987-10-10,大数据,基础设施,基础软件,中间件,,,,,,
"太极计算机股份有限公司",1987-10-10,大数据,基础设施,基础软件,数据库,,,,,,
"太极计算机股份有限公司",1987-10-10,大数据,基础设施,基础软件,云操作系统,,,,,,
"上海华谊集团股份有限公司",1992-08-05,化工新材料,专用化学品,工业气体,,,,,,,
"上海华谊集团股份有限公司",1992-08-05,化工新材料,合成树脂,其他合成树脂,高吸水树脂（SAP）,,,,,,
"陕西广电网络传媒(集团)股份有限公司",1992-08-18,大数据,基础设施,网络服务,通信运营,,,,,,
"陕西广电网络传媒(集团)股份有限公司",1992-08-18,大数据,基础设施,基础硬件,设备,网络设备,网络交换设备,网关设备,,,
"浙江花园生物高科股份有限公司",2000-12-18,生物制药,化学制药,化学原料药,维生素原料药,,,,,,
"新大陆数字技术股份有限公司",1999-06-28,大数据,数据应用,SaaS服务,智慧交通系统,,,,,,
"东港股份有限公司",1996-03-25,物联网,应用层,终端设备,电子标签,,,,,,
"东港股份有限公司",1996-03-25,人工智能,下游集成服务,终端设备,电子标签,,,,,,
"成都硅宝科技股份有限公司",1998-10-19,化工新材料,其他化工新材料,硅烷偶联剂,,,,,,,
"成都硅宝科技股份有限公司",1998-10-19,化工新材料,功能涂层材料,涂料,防腐涂料,,,,,,
"成都硅宝科技股份有限公司",1998-10-19,化工新材料,专用化学品,清洗剂,,,,,,,
"成都硅宝科技股份有限公司",1998-10-19,化工新材料,橡胶弹性体,硅橡胶,室温硫化硅橡胶,,,,,,
"浙江核新同花顺网络信息股份有限公司",2001-08-24,物联网,应用层,系统集成,智慧金融系统,,,,,,
"浙江核新同花顺网络信息股份有限公司",2001-08-24,人工智能,下游集成服务,系统集成,智慧金融系统,,,,,,
"浙江核新同花顺网络信息股份有限公司",2001-08-24,人工智能,下游集成服务,应用软件,智能决策软件,,,,,,
"浙江核新同花顺网络信息股份有限公司",2001-08-24,大数据,数据应用,SaaS服务,智慧金融系统,,,,,,
"杭州长川科技股份有限公司",2008-04-10,集成电路,上游材料设备,半导体设备,测试设备,探针台,,,,,
"杭州长川科技股份有限公司",2008-04-10,集成电路,上游材料设备,半导体设备,测试设备,测试机,,,,,
"杭州长川科技股份有限公司",2008-04-10,集成电路,上游材料设备,半导体设备,测试设备,分选机,,,,,
