"parent_company_name"	"company_name"	"estiblish_time"
"上海晋飞碳纤科技股份有限公司"	"上海劲纬高强纤维有限公司"	"2011/7/22"
"本溪第三制药厂"	"辽宁省医药贸易有限公司"	"1994/11/22"
"浙江浙商产融控股有限公司"	"浙江浙商产融资产管理有限公司"	"2015/6/30"
"深圳市早知道科技有限公司"	"深圳市微基因科技有限公司"	"2017/9/26"
"常州新智源电子科技有限公司"	"湖州新智源电子科技有限公司"	"2015/6/29"
"广东海格怡创科技有限公司"	"广东星舆科技有限公司"	"2018/2/8"
"哈尔滨哈轻塑胶有限公司"	"哈尔滨安宜汽车饰件系统有限公司"	"2003/8/12"
"青岛腾元大数据产业发展有限公司"	"深圳腾元数据科技有限公司"	"2020/4/24"
"陕西秦风气体股份有限公司"	"开封陕鼓气体有限公司"	"2012/3/7"
"江苏京东健禾医药供应链管理有限公司"	"广东京东云健医药供应链有限公司"	"2018-09-26"
"山东海泰集团有限公司"	"山东海泰集团有限公司"	"1997/9/12"
"青岛有住投资控股有限公司"	"青岛有住云科智能家居有限公司"	"2017/9/29"
"南京物联传感技术有限公司"	"青岛聚好联科技有限公司"	"2017/11/27"
"广东潮庭集团有限公司"	"成潮智能科技有限公司"	"2019/8/29"
"佛山石湾鹰牌陶瓷有限公司"	"恩平市鹰牌陶瓷有限公司"	"2014/11/25"
"武钢集团昆明钢铁股份有限公司"	"玉溪新兴钢铁有限公司"	"2004/1/27"
"河北大安制药有限公司"	"云南博晖创新生物有限公司"	"2019/6/5"
"丝绸之路大数据有限公司"	"张掖智慧产业大数据有限公司"	"2018/2/27"
"昆明市晋宁区国有资本运营有限公司"	"云南康谊医疗投资有限公司"	"2020-02-27"
"杭州迪安医学检验中心有限公司"	"青海迪安医学检验中心有限公司"	"2017/3/30"
"南方电网数字电网研究院有限公司"	"南方电网深圳数字电网研究院有限公司"	"1999/8/10"
"江苏阳光集团有限公司"	"江苏阳光集团电力有限公司"	"2017/4/10"
"陕西三原减水剂有限公司"	"三原建翔减水剂有限公司"	"2003/4/23"
"黄山中诚联合文旅有限公司"	"休宁状元郎文旅有限公司"	"2019/10/17"
"广东潮庭集团有限公司"	"中潮科技有限公司"	"2019/1/3"
"北京同仁堂商业投资集团有限公司"	"北京同仁堂山西药业有限责任公司"	"2012/5/14"
"青岛有住投资控股有限公司"	"青岛有住未来建设工程管理有限公司"	"2017/10/23"
"福建福九味中药饮片有限公司"	"福建老源兴医药销售有限公司"	"2018/12/11"
"河北永泰化工集团有限公司"	"河间瀛州化工有限责任公司"	"2004/9/27"
"西安象翌分布式医学影像技术有限公司"	"杭州象翌分布式医学影像技术有限公司"	"2017/12/14"
"沃优科技有限公司"	"沃优区块链有限公司"	"2018/7/10"
"中以生物科技有限责任公司"	"慈怀济健康科技有限公司"	"2012-11-06"
"安徽科达新材料有限公司"	"福建科华石墨科技有限公司"	"2017/10/31"
"武汉生物制品研究所有限责任公司"	"成都蓉生药业有限责任公司"	"1997/3/12"
"四川攀钢梅塞尔气体产品有限公司"	"西昌攀钢梅塞尔气体产品有限公司"	"2012/9/17"
"厦门毅诚商贸有限公司"	"广州烁钡禄汽车用品有限公司"	"2011/1/24"
"江苏润石科技有限公司"	"江苏润石科技有限公司深圳分公司"	"2017/7/3"
"洛阳未羊生物科技有限公司"	"华羊生物技术股份有限公司"	"2019/5/30"
"南通巨龙新材料科技有限公司"	"威海坤龙新材料科技有限公司"	"2018/12/5"
"浙江旭森非卤消烟阻燃剂有限公司"	"山东四新阻燃材料有限公司"	"2014/1/6"
"上海精益橡胶厂"	"上海金马橡胶制品有限公司"	"1996/11/5"
"北京环宇京辉京城气体科技有限公司"	"北京环宇瑞隆气体科技有限公司"	"2012/11/8"
"广东立邦长润发科技材料有限公司"	"河南立邦长润发科技材料有限公司"	"2018/3/9"
"富绅集团有限公司"	"惠州市庆润实业有限公司"	"2018/11/29"
"云南众合药业有限公司"	"云南众合药业石林有限公司"	"2017/5/25"
"中机云有限公司"	"中机智者有限公司"	"2017/9/12"
"仁国集团股份有限公司"	"天国娱乐股份有限公司"	"2017/2/14"
"上海智砹芯半导体科技有限公司"	"北京爱芯科技有限公司"	"2019/5/30"
"中科恒达石墨股份有限公司"	"湖北联投恒达石墨有限公司"	"2016/9/30"
"恒大高科技集团有限公司"	"深圳市恒大凯隆高科技有限公司"	"2018/8/14"
"深圳市深赛尔股份有限公司"	"惠州深赛尔化工有限公司"	"2010/3/23"
"甘肃众友健康医药股份有限公司"	"渭南众友健康恒振德医药连锁有限公司"	"2015/5/15"
"紫光天府科技产业发展有限公司"	"成都紫光芯源科技服务有限公司"	"2018/7/9"
"深圳市海格金谷工业科技有限公司"	"常州市金睿谷工业科技有限公司"	"2019/2/28"
"东北制药集团供销有限公司"	"东药集团朝阳医药有限公司"	"1994/6/27"
"中国医药集团有限公司"	"中国生物技术股份有限公司"	"1989/4/18"
"武汉璞华大数据技术有限公司"	"安徽中船璞华科技有限公司"	"2017/11/24"
"中国航空油料有限责任公司"	"中航油烟台有限公司"	"1992/11/18"
"深圳市速航科技发展有限公司"	"深圳市速航科技发展有限公司光明分公司"	"2013/2/22"
"河南信息产业投资有限公司"	"河南中原云信信息技术有限公司"	"2019/1/10"
