"机构名称(中文)"	"机构ID"	"ID"	"years"
"清源科技(厦门)股份有限公司"	"T000070224"	"QKC20192019101200043319"	"2019"
"北京东方园林环境股份有限公司"	"T000026089"	"QKC20192019101200051368"	"2019"
"许继电气股份有限公司"	"01000400"	"QKC20192019101200072018"	"2019"
"江西正邦科技股份有限公司"	"03133881"	"QKC20192019101200072048"	"2019"
"东软集团股份有限公司"	"02600718"	"QKC20192019101200081166"	"2019"
"中远海运科技股份有限公司"	"T000026611"	"QKC20192019101600032373"	"2019"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192019101600033523"	"2019"
"聚辰半导体股份有限公司"	"Q00441876B"	"QKC20192019101600049024"	"2019"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019101600053236"	"2019"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019101600071121"	"2019"
"内蒙古包钢钢联股份有限公司"	"03129981"	"QKC20192019101600076120"	"2019"
"博通集成电路(上海)股份有限公司"	"T002972287"	"QKC20192019101600077516"	"2019"
"深圳市赛为智能股份有限公司"	"T000026212"	"QKC20192019101600081597"	"2019"
"深圳市今天国际物流技术股份有限公司"	"T000055991"	"QKC20192019101600104788"	"2019"
"深圳市赛为智能股份有限公司"	"T000026212"	"QKC20192019101600105117"	"2019"
"深圳达实智能股份有限公司"	"T000026683"	"QKC20192019101600112219"	"2019"
"江苏省广电有线信息网络股份有限公司"	"T000062808"	"QKC20192019101600114154"	"2019"
"杭州格林达电子材料股份有限公司"	"T003023321"	"QKC20192019101600126156"	"2019"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019102300004890"	"2019"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019102300012329"	"2019"
"苏州科达科技股份有限公司"	"T000124546"	"QKC20192019102300016650"	"2019"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019102300019965"	"2019"
"浙江交通科技股份有限公司"	"03131956"	"QKC20192019102300052405"	"2019"
"绿色动力环保集团股份有限公司"	"T000132131"	"QKC20192019102300097738"	"2019"
"烟台龙源电力技术股份有限公司"	"T000027158"	"QKC20192019102300101941"	"2019"
"四川长虹电器股份有限公司"	"02600839"	"QKC20192019103000013828"	"2019"
"安徽新华传媒股份有限公司"	"T000026246"	"QKC20192019103000014618"	"2019"
"北京真视通科技股份有限公司"	"T000070025"	"QKC20192019103000037280"	"2019"
"山推工程机械股份有限公司"	"01000680"	"QKC20192019103000042011"	"2019"
"重庆小康工业集团股份有限公司"	"T000071215"	"QKC20192019103000044115"	"2019"
"华自科技股份有限公司"	"T000125453"	"QKC20192019103000072259"	"2019"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019103000086563"	"2019"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"QKC20192019103000088176"	"2019"
