"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"
"中国西电电气股份有限公司"	"T000025764"	"CN101381883A"	"20090311"
"中国西电电气股份有限公司"	"T000025764"	"CN101387487A"	"20090318"
"中国西电电气股份有限公司"	"T000025764"	"CN101387487B"	"20100602"
"东软集团股份有限公司"	"02600718"	"CN101387958A"	"20090318"
"东软集团股份有限公司"	"02600718"	"CN101387958B"	"20110615"
"东软集团股份有限公司"	"02600718"	"CN101387959A"	"20090318"
"中国西电电气股份有限公司"	"T000025764"	"CN101388284A"	"20090318"
"东软集团股份有限公司"	"02600718"	"CN101388844A"	"20090318"
"东软集团股份有限公司"	"02600718"	"CN101388844B"	"20120314"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101392378A"	"20090325"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101392378B"	"20120125"
"沈阳兴齐眼药股份有限公司"	"T000060171"	"CN101396361B"	"20130403"
"金堆城钼业股份有限公司"	"03134603"	"CN101402117A"	"20090408"
"中国西电电气股份有限公司"	"T000025764"	"CN101403782A"	"20090408"
"东软集团股份有限公司"	"02600718"	"CN101404117A"	"20090408"
"东软集团股份有限公司"	"02600718"	"CN101404117B"	"20110209"
"中国西电电气股份有限公司"	"T000025764"	"CN101404393A"	"20090408"
"中国西电电气股份有限公司"	"T000025764"	"CN101404393B"	"20101222"
"东软集团股份有限公司"	"02600718"	"CN101404737A"	"20090408"
"东软集团股份有限公司"	"02600718"	"CN101404737B"	"20100728"
"东软集团股份有限公司"	"02600718"	"CN101408977A"	"20090415"
"东软集团股份有限公司"	"02600718"	"CN101408977B"	"20120418"
"东软集团股份有限公司"	"02600718"	"CN101408978A"	"20090415"
"东软集团股份有限公司"	"02600718"	"CN101408978B"	"20101201"
"东软集团股份有限公司"	"02600718"	"CN101414355A"	"20090422"
"东软集团股份有限公司"	"02600718"	"CN101414355B"	"20130313"
"东软集团股份有限公司"	"02600718"	"CN101419667A"	"20090429"
"东软集团股份有限公司"	"02600718"	"CN101419667B"	"20101208"
"东软集团股份有限公司"	"02600718"	"CN101419711A"	"20090429"
"东软集团股份有限公司"	"02600718"	"CN101419711B"	"20120530"
"中国西电电气股份有限公司"	"T000025764"	"CN101429419A"	"20090513"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429846A"	"20090513"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429846B"	"20100915"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429855A"	"20090513"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429855B"	"20101124"
